line,section_name,section_artist,song_name,artist_name,song_lyrics_url,line_number
Pareidolia,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,1
With your head upon my lap on the buffalo grass,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,2
The clouds are moving fast,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,3
"Sippy, tell me what you see",Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,4
"""Maybe, it's a baby",Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,5
Maybe it's a cottonmouth swallowing its tail,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,6
"That one looks like Lady Guadalupe, an airplane in her hair",Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,7
It's paradise,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,8
"The sun is just aglow, though shade your eyes",Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,9
There goes a phoenix with the last light”,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,10
"Baby, it's an omen",Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,11
"Let's fly to Puertecitos, where the five turns to sand",Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,12
I've seen them burning statues of The Virgin by the roadside,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,13
Remember the time,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,14
You snuck in through the bathroom window,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,15
And waited for me there?,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,16
Hidden in the shower for an hour,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,17
When I went to fill the tub,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,18
I found you wrapped in linens like a ghost,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,19
"My heart froze, I fainted",Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,20
Fold me a rose,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,21
With that holiday napkin on the floor,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,22
As payment for your fortunes I predicted,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,23
"You said, ""Bite me, hell no",Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,24
"You're lucky I don't fold you, boy""",Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,25
Pareidolia,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,26
With your head upon my lap on the buffalo grass,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,27
The clouds are moving fast,Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,28
"Sippy, tell me what you see",Pareidolia,Buck Meek,Pareidolia,Buck Meek,https://genius.com/Buck-meek-pareidolia-lyrics,29
"Innocence is a light beam, you're doing your thing",Verse 1,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,1
With your arm out your window up Highway 9,Verse 1,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,2
"When it's too much to handle, burn me a candle",Verse 1,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,3
"If you don't have a candle, let me burn on your mind",Verse 1,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,4
The song of the sirens caught up with me downwind,Verse 2,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,5
My nose started bleeding by the second note,Verse 2,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,6
Heaven is a motel with a telephone seashell,Verse 2,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,7
"Well, check-out's at eleven, and don't ask for more time",Verse 2,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,8
"Well, did your eyes change? I remember them blue",Chorus,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,9
Or were they always hazel?,Chorus,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,10
Still the same face with a line or two,Chorus,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,11
The same love I always knew,Chorus,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,12
"I try not to call, but I think I'm being followed",Verse 3,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,13
It's been about an hour or so,Verse 3,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,14
"I hate for you to hear me scared, otherwise, I'm well",Verse 3,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,15
I guess you're still the first place I go,Verse 3,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,16
Did your eyes change? I remember them blue,Chorus,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,17
Or were they always hazel?,Chorus,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,18
Still the same face with a line or two,Chorus,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,19
The same love I always knew,Chorus,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,20
Did your eyes change? I remember them blue,Chorus,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,21
Or were they always hazel?,Chorus,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,22
Still the same face with a line or two,Chorus,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,23
The same love I always knew,Chorus,Buck Meek,Candle,Buck Meek,https://genius.com/Buck-meek-candle-lyrics,24
"I go down to Logantown, look up Ruby Bates",Verse 1,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,1
"Don't call the police, they won't help none",Verse 1,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,2
Two tons of turtle doves from out of state,Verse 1,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,3
Just tell her I sent you for the discount rate,Verse 1,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,4
My man with a moving van's looking for a job to do,Verse 2,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,5
He'll work for cheap but he'll change you,Verse 2,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,6
"A blue eye on the left hand side, hazel on the right",Verse 2,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,7
He'll cut right through with a second sight,Verse 2,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,8
But I work for free,Chorus,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,9
And love is all I need,Chorus,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,10
"Yes, I work for free",Chorus,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,11
'Cause love is all I need,Chorus,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,12
"Oh no, my swimming hole is full of turpentine",Verse 3,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,13
It's raining mud from a bad sky,Verse 3,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,14
"I can help to clean this up, but I don't think I'm qualified",Verse 3,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,15
We need to find someone who can purify,Verse 3,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,16
But if you have a need of which you can't dеscribe,Verse 2,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,17
A feeling of the third kind,Verse 2,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,18
"That's my specialty, that's еasy",Verse 2,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,19
"We can draw up the plans, of a new design",Verse 2,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,20
And I work for free,Chorus,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,21
'Cause love is all I need,Chorus,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,22
"Yes, I work for free",Chorus,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,23
And love is all I need,Chorus,Buck Meek,Second Sight,Buck Meek,https://genius.com/Buck-meek-second-sight-lyrics,24
"Pinwheel, it's a bad deal",Verse 1,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,1
Falling upside down,Verse 1,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,2
"Man, May came soon",Verse 1,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,3
"I hardly got to see you, Sue, how are you?",Verse 1,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,4
Slow dance romance,Verse 1,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,5
"C'mon Joe, it's your last chance",Verse 1,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,6
But she won't catch you,Verse 1,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,7
"Man, I bet you she won't catch you when you fall",Verse 1,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,8
Two saviors fighting over a soul,Chorus,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,9
A black eye leaves a black hole,Chorus,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,10
"It seems the glass has cracked, it's getting cold",Chorus,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,11
"""Hold me, hold me, Joe""",Chorus,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,12
"Blue light, we had true sight",Verse 2,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,13
"Falling inward out, won't you recall",Verse 2,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,14
Bonsais on the dashboard,Verse 2,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,15
A warm refuge from a cold storm,Verse 2,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,16
"Five eyes, those were bright nights",Verse 2,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,17
Even Orion's got a soft side,Verse 2,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,18
But he won't catch you,Verse 2,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,19
"Suzy, I'd bet you hе won't catch you when you fly",Verse 2,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,20
Two saviors fighting over a soul,Chorus,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,21
A black eyе leaves a black hole,Chorus,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,22
"It seems the glass has cracked, it's getting cold",Chorus,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,23
"Hold me, hold me",Chorus,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,24
"No, I need to be alone, to know my home",Chorus,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,25
I know no home,Chorus,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,26
"But hold me, hold me, Joe",Chorus,Buck Meek,Two Saviors,Buck Meek,https://genius.com/Buck-meek-two-saviors-lyrics,27
Eyes behind eyes behind her eyes,Eyes behind eyes behind her eyes,Buck Meek,Two Moons,Buck Meek,https://genius.com/Buck-meek-two-moons-lyrics,1
I know them from before,Eyes behind eyes behind her eyes,Buck Meek,Two Moons,Buck Meek,https://genius.com/Buck-meek-two-moons-lyrics,2
Maybe night skies golden,Eyes behind eyes behind her eyes,Buck Meek,Two Moons,Buck Meek,https://genius.com/Buck-meek-two-moons-lyrics,3
Maybe desert doors,Eyes behind eyes behind her eyes,Buck Meek,Two Moons,Buck Meek,https://genius.com/Buck-meek-two-moons-lyrics,4
Two moons rose today,Eyes behind eyes behind her eyes,Buck Meek,Two Moons,Buck Meek,https://genius.com/Buck-meek-two-moons-lyrics,5
And we slept until eight in the evening,Eyes behind eyes behind her eyes,Buck Meek,Two Moons,Buck Meek,https://genius.com/Buck-meek-two-moons-lyrics,6
Mind behind mind behind my mind,Eyes behind eyes behind her eyes,Buck Meek,Two Moons,Buck Meek,https://genius.com/Buck-meek-two-moons-lyrics,7
One seed in the soil,Eyes behind eyes behind her eyes,Buck Meek,Two Moons,Buck Meek,https://genius.com/Buck-meek-two-moons-lyrics,8
Maybe white apples glowing,Eyes behind eyes behind her eyes,Buck Meek,Two Moons,Buck Meek,https://genius.com/Buck-meek-two-moons-lyrics,9
Maybe apple cores,Eyes behind eyes behind her eyes,Buck Meek,Two Moons,Buck Meek,https://genius.com/Buck-meek-two-moons-lyrics,10
"Two moons, full I'd say",Eyes behind eyes behind her eyes,Buck Meek,Two Moons,Buck Meek,https://genius.com/Buck-meek-two-moons-lyrics,11
At least full enough for saying,Eyes behind eyes behind her eyes,Buck Meek,Two Moons,Buck Meek,https://genius.com/Buck-meek-two-moons-lyrics,12
Time behind time behind our time,Eyes behind eyes behind her eyes,Buck Meek,Two Moons,Buck Meek,https://genius.com/Buck-meek-two-moons-lyrics,13
I've hеld her before,Eyes behind eyes behind her eyes,Buck Meek,Two Moons,Buck Meek,https://genius.com/Buck-meek-two-moons-lyrics,14
Maybе wildfires moaning,Eyes behind eyes behind her eyes,Buck Meek,Two Moons,Buck Meek,https://genius.com/Buck-meek-two-moons-lyrics,15
Maybe summer storms,Eyes behind eyes behind her eyes,Buck Meek,Two Moons,Buck Meek,https://genius.com/Buck-meek-two-moons-lyrics,16
Two moons show the way,Eyes behind eyes behind her eyes,Buck Meek,Two Moons,Buck Meek,https://genius.com/Buck-meek-two-moons-lyrics,17
Through the wood early morning,Eyes behind eyes behind her eyes,Buck Meek,Two Moons,Buck Meek,https://genius.com/Buck-meek-two-moons-lyrics,18
Our dream daughter,Verse 1,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,1
Candle on the altar,Verse 1,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,2
"Blue eye on the left, your mother's brown on the right",Verse 1,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,3
You grew taller,Verse 1,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,4
Taller than I am,Verse 1,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,5
"In white light from her breast, I touched your hand",Verse 1,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,6
Who are you?,Chorus,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,7
Who would you have been?,Chorus,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,8
Blue jay stuck in my kitchen,Chorus,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,9
One wing open,Verse 2,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,10
I took off in slow motion,Verse 2,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,11
"Cross-eyed, I did my best to climb",Verse 2,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,12
The clouds broke,Verse 2,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,13
"Well, heaven took my throat",Verse 2,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,14
"With two hands and a gentle eye, she let me die",Verse 2,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,15
Who are you?,Chorus,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,16
Who would you have been?,Chorus,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,17
Blue jay stuck in my kitchen,Chorus,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,18
Just cold water,Verse 3,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,19
The shadow's getting longer,Verse 3,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,20
"Though bright nights, hold my breath, silver on the right",Verse 3,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,21
I took all the blankets,Verse 3,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,22
And slept out in the yard,Verse 3,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,23
"Moon fall, I swear I saw gold behind the stars",Verse 3,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,24
Who are you?,Chorus,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,25
Who would you have been?,Chorus,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,26
"Blue jay stuck in my kitchen, fly away",Chorus,Buck Meek,Dream Daughter,Buck Meek,https://genius.com/Buck-meek-dream-daughter-lyrics,27
Save me half of that sandwich Annie,Save me half of that sandwich Annie,Buck Meek,Ham on White,Buck Meek,https://genius.com/Buck-meek-ham-on-white-lyrics,1
I haven't eaten since 1995,Save me half of that sandwich Annie,Buck Meek,Ham on White,Buck Meek,https://genius.com/Buck-meek-ham-on-white-lyrics,2
It's a miracle I'm alive,Save me half of that sandwich Annie,Buck Meek,Ham on White,Buck Meek,https://genius.com/Buck-meek-ham-on-white-lyrics,3
Please spare my life with ham on white tonight,Save me half of that sandwich Annie,Buck Meek,Ham on White,Buck Meek,https://genius.com/Buck-meek-ham-on-white-lyrics,4
"Well I'd do anything, anything",Save me half of that sandwich Annie,Buck Meek,Ham on White,Buck Meek,https://genius.com/Buck-meek-ham-on-white-lyrics,5
"I'd do anything, anything",Save me half of that sandwich Annie,Buck Meek,Ham on White,Buck Meek,https://genius.com/Buck-meek-ham-on-white-lyrics,6
Maybe you could let go of those potato chips you're hiding in your drawer,Save me half of that sandwich Annie,Buck Meek,Ham on White,Buck Meek,https://genius.com/Buck-meek-ham-on-white-lyrics,7
What are you hiding for?,Save me half of that sandwich Annie,Buck Meek,Ham on White,Buck Meek,https://genius.com/Buck-meek-ham-on-white-lyrics,8
"Well I'd do anything, anything",Save me half of that sandwich Annie,Buck Meek,Ham on White,Buck Meek,https://genius.com/Buck-meek-ham-on-white-lyrics,9
I'd do anything,Save me half of that sandwich Annie,Buck Meek,Ham on White,Buck Meek,https://genius.com/Buck-meek-ham-on-white-lyrics,10
Actually anything,Save me half of that sandwich Annie,Buck Meek,Ham on White,Buck Meek,https://genius.com/Buck-meek-ham-on-white-lyrics,11
"I'd do anything, anything",Save me half of that sandwich Annie,Buck Meek,Ham on White,Buck Meek,https://genius.com/Buck-meek-ham-on-white-lyrics,12
"I'd do anything, to the letter anything",Save me half of that sandwich Annie,Buck Meek,Ham on White,Buck Meek,https://genius.com/Buck-meek-ham-on-white-lyrics,13
"I'd do anything, anything",Save me half of that sandwich Annie,Buck Meek,Ham on White,Buck Meek,https://genius.com/Buck-meek-ham-on-white-lyrics,14
I'd do anything,Save me half of that sandwich Annie,Buck Meek,Ham on White,Buck Meek,https://genius.com/Buck-meek-ham-on-white-lyrics,15
"Faithfully, anything",Save me half of that sandwich Annie,Buck Meek,Ham on White,Buck Meek,https://genius.com/Buck-meek-ham-on-white-lyrics,16
Fireflies to show me around,Fireflies to show me around,Buck Meek,Cannonball! Pt. 2,Buck Meek,https://genius.com/Buck-meek-cannonball-pt-2-lyrics,1
Every hole in New York town,Fireflies to show me around,Buck Meek,Cannonball! Pt. 2,Buck Meek,https://genius.com/Buck-meek-cannonball-pt-2-lyrics,2
My eyes are getting old,Fireflies to show me around,Buck Meek,Cannonball! Pt. 2,Buck Meek,https://genius.com/Buck-meek-cannonball-pt-2-lyrics,3
